ablation_id,condition,generation,source_generation,benchmark_stratum,prior_objective,retained_objective,prior_uar,retained_uar,retention_score,forgetting,objective_noninferior,safety_noninferior,catastrophic_interference,passed
A1,fresh,3,2,policy_semantic_transfer,0.561608105625337,0.561608105625337,0.016725352112676055,0.016725352112676055,1.0,0.0,True,True,0,True
A10,cumulative,2,1,corruption_composition_leave_out,0.7127486358705528,0.7237987731515723,0.003937007874015748,0.011811023622047244,1.0155035544438789,0.0,True,True,0,True
A10,cumulative,2,1,corruption_family_leave_out,0.6915485291479265,0.7296205975036972,0.010893246187363835,0.007625272331154684,1.0550533574305772,0.0,True,True,1,False
A10,cumulative,2,1,domain_leave_out,0.689820943833606,0.6757770659157168,0.004940711462450593,0.017786561264822136,0.9796412706174998,0.014043877917889191,True,False,0,False
A10,cumulative,2,1,generator_leave_out,0.6834867483127002,0.7072831418637735,0.011527377521613832,0.011527377521613832,1.0348161739928663,0.0,True,True,0,True
A10,cumulative,2,1,long_horizon_recurrence,0.6706671032823313,0.6845715633919192,0.005054759898904802,0.010951979780960405,1.0207322828889887,0.0,True,True,0,True
A10,cumulative,2,1,policy_semantic_transfer,0.7286546133569104,0.7168189681485262,0.0045662100456621,0.0182648401826484,0.9837568513374843,0.011835645208384205,True,False,2,False
A10,cumulative,3,2,corruption_composition_leave_out,0.6413044395298744,0.6413044395298744,0.007835455435847209,0.007835455435847209,1.0,0.0,True,True,0,True
A10,cumulative,3,2,corruption_family_leave_out,0.6501983382131025,0.6501983382131025,0.018943170488534396,0.018943170488534396,1.0,0.0,True,True,0,True
A10,cumulative,3,2,domain_leave_out,0.6782380121582609,0.6782380121582609,0.008181818181818182,0.008181818181818182,1.0,0.0,True,True,0,True
A10,cumulative,3,2,generator_leave_out,0.6622746452543015,0.6622746452543015,0.010112359550561797,0.010112359550561797,1.0,0.0,True,True,0,True
A10,cumulative,3,2,long_horizon_recurrence,0.7025710440060513,0.7025710440060513,0.0136986301369863,0.0136986301369863,1.0,0.0,True,True,0,True
A10,cumulative,3,2,policy_semantic_transfer,0.6655505691011109,0.6655505691011109,0.008802816901408451,0.008802816901408451,1.0,0.0,True,True,0,True
A10,fresh,2,1,corruption_composition_leave_out,0.7127486358705528,0.7127486358705528,0.003937007874015748,0.003937007874015748,1.0,0.0,True,True,0,True
A10,fresh,2,1,corruption_family_leave_out,0.6915485291479265,0.6915485291479265,0.010893246187363835,0.010893246187363835,1.0,0.0,True,True,0,True
A10,fresh,2,1,domain_leave_out,0.689820943833606,0.689820943833606,0.004940711462450593,0.004940711462450593,1.0,0.0,True,True,0,True
A10,fresh,2,1,generator_leave_out,0.6834867483127002,0.6834867483127002,0.011527377521613832,0.011527377521613832,1.0,0.0,True,True,0,True
A10,fresh,2,1,long_horizon_recurrence,0.6706671032823313,0.6706671032823313,0.005054759898904802,0.005054759898904802,1.0,0.0,True,True,0,True
A10,fresh,2,1,policy_semantic_transfer,0.7286546133569104,0.7286546133569104,0.0045662100456621,0.0045662100456621,1.0,0.0,True,True,0,True
A10,fresh,3,2,corruption_composition_leave_out,0.6259631218660566,0.6259631218660566,0.004897159647404506,0.004897159647404506,1.0,0.0,True,True,0,True
A10,fresh,3,2,corruption_family_leave_out,0.6696767038321577,0.6696767038321577,0.005982053838484547,0.005982053838484547,1.0,0.0,True,True,0,True
A10,fresh,3,2,domain_leave_out,0.6721415109618052,0.6721415109618052,0.005454545454545455,0.005454545454545455,1.0,0.0,True,True,0,True
A10,fresh,3,2,generator_leave_out,0.6460371141531281,0.6460371141531281,0.007865168539325843,0.007865168539325843,1.0,0.0,True,True,0,True
A10,fresh,3,2,long_horizon_recurrence,0.6876830132803272,0.6876830132803272,0.00684931506849315,0.00684931506849315,1.0,0.0,True,True,0,True
A10,fresh,3,2,policy_semantic_transfer,0.6620222565556072,0.6620222565556072,0.0035211267605633804,0.0035211267605633804,1.0,0.0,True,True,0,True
A11,cumulative,2,1,corruption_composition_leave_out,0.7200486358705528,0.728880164403998,0.002952755905511811,0.010826771653543307,1.0122651833410778,0.0,True,True,0,True
A11,cumulative,2,1,corruption_family_leave_out,0.6923151958145933,0.7320005975036972,0.00980392156862745,0.007625272331154684,1.0573227367086881,0.0,True,True,1,False
A11,cumulative,2,1,domain_leave_out,0.6952987216113838,0.6793325034832428,0.003952569169960474,0.016798418972332016,0.9770368941695468,0.01596621812814103,True,False,0,False
A11,cumulative,2,1,generator_leave_out,0.6883667724672895,0.7065189313374577,0.008645533141210375,0.011527377521613832,1.0263698940683992,0.0,True,True,0,True
A11,cumulative,2,1,long_horizon_recurrence,0.6789642591527767,0.6893029736483294,0.004212299915754001,0.010109519797809604,1.015227185166497,0.0,True,True,0,True
A11,cumulative,2,1,policy_semantic_transfer,0.7308816168821747,0.7224240584605129,0.0036529680365296802,0.01643835616438356,0.9884282786345888,0.008457558421661737,True,False,2,False
A11,cumulative,3,2,corruption_composition_leave_out,0.6488070099807599,0.6488070099807599,0.005876591576885406,0.005876591576885406,1.0,0.0,True,True,0,True
A11,cumulative,3,2,corruption_family_leave_out,0.6668399474085049,0.6668399474085049,0.015952143569292122,0.015952143569292122,1.0,0.0,True,True,0,True
A11,cumulative,3,2,domain_leave_out,0.681938197343446,0.681938197343446,0.007272727272727273,0.007272727272727273,1.0,0.0,True,True,0,True
A11,cumulative,3,2,generator_leave_out,0.6657919157257658,0.6657919157257658,0.008988764044943821,0.008988764044943821,1.0,0.0,True,True,0,True
A11,cumulative,3,2,long_horizon_recurrence,0.7072164314943801,0.7072164314943801,0.012842465753424657,0.012842465753424657,1.0,0.0,True,True,0,True
A11,cumulative,3,2,policy_semantic_transfer,0.6654921407385378,0.6654921407385378,0.008802816901408451,0.008802816901408451,1.0,0.0,True,True,0,True
A11,fresh,2,1,corruption_composition_leave_out,0.7200486358705528,0.7200486358705528,0.002952755905511811,0.002952755905511811,1.0,0.0,True,True,0,True
A11,fresh,2,1,corruption_family_leave_out,0.6923151958145933,0.6923151958145933,0.00980392156862745,0.00980392156862745,1.0,0.0,True,True,0,True
A11,fresh,2,1,domain_leave_out,0.6952987216113838,0.6952987216113838,0.003952569169960474,0.003952569169960474,1.0,0.0,True,True,0,True
A11,fresh,2,1,generator_leave_out,0.6883667724672895,0.6883667724672895,0.008645533141210375,0.008645533141210375,1.0,0.0,True,True,0,True
A11,fresh,2,1,long_horizon_recurrence,0.6789642591527767,0.6789642591527767,0.004212299915754001,0.004212299915754001,1.0,0.0,True,True,0,True
A11,fresh,2,1,policy_semantic_transfer,0.7308816168821747,0.7308816168821747,0.0036529680365296802,0.0036529680365296802,1.0,0.0,True,True,0,True
A11,fresh,3,2,corruption_composition_leave_out,0.6368826118326119,0.6368826118326119,0.0019588638589618022,0.0019588638589618022,1.0,0.0,True,True,0,True
A11,fresh,3,2,corruption_family_leave_out,0.6718167038321577,0.6718167038321577,0.005982053838484547,0.005982053838484547,1.0,0.0,True,True,0,True
A11,fresh,3,2,domain_leave_out,0.6815295548537486,0.6815295548537486,0.0027272727272727275,0.0027272727272727275,1.0,0.0,True,True,0,True
